years,years (5k),100k cycle (radians),40k cycle (radians),22k cycle (radians),100k period,40k period,22k period,composite
400000,0,0,0,0,0,0.005235722,0.006980963,0.012216685
395000,1,0.314159265,0.785398163,1.427996661,0.309016994,0.21580194,0.39686177,0.921680704
390000,2,0.628318531,1.570796327,2.855993321,0.587785252,0.299954309,0.105977675,0.993717235
385000,3,0.942477796,2.35619449,4.283989982,0.809016994,0.208397511,-0.366697378,0.650717127
380000,4,1.256637061,3.141592654,5.711986643,0.951056516,-0.005235722,-0.210350631,0.735470164
375000,5,1.570796327,3.926990817,7.139983304,1,-0.21580194,0.306825346,1.091023406
370000,6,1.884955592,4.71238898,8.567979964,0.951056516,-0.299954309,0.29768223,0.948784438
365000,7,2.199114858,5.497787144,9.995976625,0.809016994,-0.208397511,-0.22209615,0.378523334
360000,8,2.513274123,6.283185307,11.42397329,0.587785252,0.005235722,-0.360897385,0.232123589
355000,9,2.827433388,7.068583471,12.85196995,0.309016994,0.21580194,0.119374044,0.644192978
350000,10,3.141592654,7.853981634,14.27996661,0,0.299954309,0.39487478,0.694829089
345000,11,3.455751919,8.639379797,15.70796327,-0.309016994,0.208397511,-0.006980963,-0.107600446
340000,12,3.769911184,9.424777961,17.13595993,-0.587785252,-0.005235722,-0.39686177,-0.989882744
335000,13,4.08407045,10.21017612,18.56395659,-0.809016994,-0.21580194,-0.105977675,-1.130796609
330000,14,4.398229715,10.99557429,19.99195325,-0.951056516,-0.299954309,0.366697378,-0.884313447
325000,15,4.71238898,11.78097245,21.41994991,-1,-0.208397511,0.210350631,-0.998046881
320000,16,5.026548246,12.56637061,22.84794657,-0.951056516,0.005235722,-0.306825346,-1.252646141
315000,17,5.340707511,13.35176878,24.27594323,-0.809016994,0.21580194,-0.29768223,-0.890897284
310000,18,5.654866776,14.13716694,25.70393989,-0.587785252,0.299954309,0.22209615,-0.065734794
305000,19,5.969026042,14.9225651,27.13193655,-0.309016994,0.208397511,0.360897385,0.260277902
300000,20,6.283185307,15.70796327,28.55993321,0,-0.005235722,-0.119374044,-0.124609766
295000,21,6.597344573,16.49336143,29.98792988,0.309016994,-0.21580194,-0.39487478,-0.301659726
290000,22,6.911503838,17.27875959,31.41592654,0.587785252,-0.299954309,0.006980963,0.294811906
285000,23,7.225663103,18.06415776,32.8439232,0.809016994,-0.208397511,0.39686177,0.997481253
280000,24,7.539822369,18.84955592,34.27191986,0.951056516,0.005235722,0.105977675,1.062269913
275000,25,7.853981634,19.63495408,35.69991652,1,0.21580194,-0.366697378,0.849104562
270000,26,8.168140899,20.42035225,37.12791318,0.951056516,0.299954309,-0.210350631,1.040660194
265000,27,8.482300165,21.20575041,38.55590984,0.809016994,0.208397511,0.306825346,1.324239852
260000,28,8.79645943,21.99114858,39.9839065,0.587785252,-0.005235722,0.29768223,0.88023176
255000,29,9.110618695,22.77654674,41.41190316,0.309016994,-0.21580194,-0.22209615,-0.128881095
250000,30,9.424777961,23.5619449,42.83989982,0,-0.299954309,-0.360897385,-0.660851694
245000,31,9.738937226,24.34734307,44.26789648,-0.309016994,-0.208397511,0.119374044,-0.398040462
240000,32,10.05309649,25.13274123,45.69589314,-0.587785252,0.005235722,0.39487478,-0.18767475
235000,33,10.36725576,25.91813939,47.1238898,-0.809016994,0.21580194,-0.006980963,-0.600196017
230000,34,10.68141502,26.70353756,48.55188646,-0.951056516,0.299954309,-0.39686177,-1.047963977
225000,35,10.99557429,27.48893572,49.97988313,-1,0.208397511,-0.105977675,-0.897580163
220000,36,11.30973355,28.27433388,51.40787979,-0.951056516,-0.005235722,0.366697378,-0.58959486
215000,37,11.62389282,29.05973205,52.83587645,-0.809016994,-0.21580194,0.210350631,-0.814468304
210000,38,11.93805208,29.84513021,54.26387311,-0.587785252,-0.299954309,-0.306825346,-1.194564907
205000,39,12.25221135,30.63052837,55.69186977,-0.309016994,-0.208397511,-0.29768223,-0.815096735
200000,40,12.56637061,31.41592654,57.11986643,0,0.005235722,0.22209615,0.227331872
195000,41,12.88052988,32.2013247,58.54786309,0.309016994,0.21580194,0.360897385,0.885716319
190000,42,13.19468915,32.98672286,59.97585975,0.587785252,0.299954309,-0.119374044,0.768365517
185000,43,13.50884841,33.77212103,61.40385641,0.809016994,0.208397511,-0.39487478,0.622539725
180000,44,13.82300768,34.55751919,62.83185307,0.951056516,-0.005235722,0.006980963,0.952801757
175000,45,14.13716694,35.34291735,64.25984973,1,-0.21580194,0.39686177,1.181059829
170000,46,14.45132621,36.12831552,65.68784639,0.951056516,-0.299954309,0.105977675,0.757079882
165000,47,14.76548547,36.91371368,67.11584305,0.809016994,-0.208397511,-0.366697378,0.233922105
160000,48,15.07964474,37.69911184,68.54383971,0.587785252,0.005235722,-0.210350631,0.382670344
155000,49,15.393804,38.48451001,69.97183638,0.309016994,0.21580194,0.306825346,0.831644281
150000,50,15.70796327,39.26990817,71.39983304,0,0.299954309,0.29768223,0.597636538
145000,51,16.02212253,40.05530633,72.8278297,-0.309016994,0.208397511,-0.22209615,-0.322715633
140000,52,16.3362818,40.8407045,74.25582636,-0.587785252,-0.005235722,-0.360897385,-0.953918359
135000,53,16.65044106,41.62610266,75.68382302,-0.809016994,-0.21580194,0.119374044,-0.905444891
130000,54,16.96460033,42.41150082,77.11181968,-0.951056516,-0.299954309,0.39487478,-0.856136045
125000,55,17.27875959,43.19689899,78.53981634,-1,-0.208397511,-0.006980963,-1.215378474
120000,56,17.59291886,43.98229715,79.967813,-0.951056516,0.005235722,-0.39686177,-1.342682564
115000,57,17.90707813,44.76769531,81.39580966,-0.809016994,0.21580194,-0.105977675,-0.699192729
110000,58,18.22123739,45.55309348,82.82380632,-0.587785252,0.299954309,0.366697378,0.078866435
